family,model,layer,head,delta_ioi,delta_anti,n_layers,relative_layer
pythia,pythia-70m,0,7,-0.4192270562052727,0.0,13,0.038461538461538464
pythia,pythia-70m,1,1,-0.1617247760295868,0.0,13,0.11538461538461539
pythia,pythia-70m,1,3,-0.284780777990818,0.0,13,0.11538461538461539
pythia,pythia-70m,2,1,-0.2035295367240905,0.0,13,0.19230769230769232
pythia,pythia-70m,2,6,-0.1814760267734527,0.0,13,0.19230769230769232
pythia,pythia-70m,2,7,-0.6693404316902161,0.0,13,0.19230769230769232
pythia,pythia-70m,4,6,-0.1626542508602142,-0.2139435410499572,13,0.34615384615384615
pythia,pythia-160m,0,0,-1.4348183870315552,0.0,13,0.038461538461538464
pythia,pythia-160m,0,1,-0.2275344133377075,0.0,13,0.038461538461538464
pythia,pythia-160m,0,2,-0.8137136697769165,0.0,13,0.038461538461538464
pythia,pythia-160m,0,3,-1.0505050420761108,0.0,13,0.038461538461538464
pythia,pythia-160m,0,5,-0.3447052240371704,-0.1476923823356628,13,0.038461538461538464
pythia,pythia-160m,0,8,-0.6634434461593628,0.0,13,0.038461538461538464
pythia,pythia-160m,1,0,-0.2315515279769897,-0.1724777817726135,13,0.11538461538461539
pythia,pythia-160m,1,6,-0.4594606161117553,0.0,13,0.11538461538461539
pythia,pythia-160m,1,8,-0.3032552003860473,0.0,13,0.11538461538461539
pythia,pythia-160m,1,9,-1.430188775062561,0.0,13,0.11538461538461539
pythia,pythia-160m,2,0,-0.3407777547836303,0.0,13,0.19230769230769232
pythia,pythia-160m,2,1,-0.3408631086349487,0.0,13,0.19230769230769232
pythia,pythia-160m,2,4,-0.6334210634231567,-0.0895041227340698,13,0.19230769230769232
pythia,pythia-160m,2,6,-1.055655837059021,0.0,13,0.19230769230769232
pythia,pythia-160m,2,11,-1.0247987508773804,0.0,13,0.19230769230769232
pythia,pythia-160m,3,0,-1.8286436796188352,0.0,13,0.2692307692307692
pythia,pythia-160m,3,4,-0.6635006666183472,-0.1482321619987487,13,0.2692307692307692
pythia,pythia-160m,4,6,-0.8135761022567749,-0.2139435410499572,13,0.34615384615384615
pythia,pythia-160m,4,8,-0.7491799592971802,0.0,13,0.34615384615384615
pythia,pythia-160m,4,11,-0.973591923713684,0.0,13,0.34615384615384615
pythia,pythia-160m,5,3,-0.1726235151290893,0.0,13,0.4230769230769231
pythia,pythia-160m,5,4,-0.1740866899490356,0.0,13,0.4230769230769231
pythia,pythia-160m,5,8,-0.6894339323043823,0.0,13,0.4230769230769231
pythia,pythia-160m,5,10,-0.3407117128372192,0.0,13,0.4230769230769231
pythia,pythia-160m,6,6,-0.8683630228042603,0.0,13,0.5
pythia,pythia-160m,6,9,-0.3189812898635864,0.0,13,0.5
pythia,pythia-160m,7,3,-0.4725011587142944,0.0,13,0.5769230769230769
pythia,pythia-160m,7,9,-0.190393328666687,0.0,13,0.5769230769230769
pythia,pythia-160m,9,5,-0.3323298692703247,0.0,13,0.7307692307692307
pythia,pythia-160m,9,10,-0.1665848493576049,0.0,13,0.7307692307692307
pythia,pythia-410m,0,3,-0.2027997970581054,0.0,18,0.027777777777777776
pythia,pythia-410m,0,11,-0.4311950206756592,0.0,18,0.027777777777777776
pythia,pythia-410m,4,2,-0.3276699781417846,0.0,18,0.25
pythia,pythia-410m,4,6,-0.2292877435684204,-0.2139435410499572,18,0.25
pythia,pythia-410m,4,13,-0.2598797082901001,0.0,18,0.25
pythia,pythia-410m,5,2,-0.6198322772979736,0.0,18,0.3055555555555556
pythia,pythia-410m,5,13,-0.338462233543396,0.0,18,0.3055555555555556
pythia,pythia-410m,8,2,-0.1739534139633178,0.0,18,0.4722222222222222
pythia,pythia-410m,8,6,-0.1565133333206176,0.0,18,0.4722222222222222
pythia,pythia-410m,9,1,-0.1827338933944702,0.0,18,0.5277777777777778
pythia,pythia-410m,10,0,-0.1701120138168335,-0.0443130135536193,18,0.5833333333333334
pythia,pythia-410m,10,7,-0.3460824489593506,-0.0493994355201721,18,0.5833333333333334
pythia,pythia-410m,11,3,-0.212782621383667,-0.0461631417274475,18,0.6388888888888888
pythia,pythia-410m,11,5,-0.1508247852325439,0.0,18,0.6388888888888888
pythia,pythia-410m,12,1,-0.2198706865310669,-0.0504066944122314,18,0.6944444444444444
pythia,pythia-410m,12,12,-0.3889616727828979,0.0,18,0.6944444444444444
pythia,pythia-410m,15,2,-0.1909528970718383,0.0,18,0.8611111111111112
pythia,pythia-410m,15,11,-0.2432583570480346,0.0,18,0.8611111111111112
pythia,pythia-1b,0,0,-0.4920898377895355,0.0,15,0.03333333333333333
pythia,pythia-1b,0,4,-0.3465963304042816,-0.3513792157173157,15,0.03333333333333333
pythia,pythia-1b,1,0,-0.1862031817436218,-0.1724777817726135,15,0.1
pythia,pythia-1b,1,3,-0.297468900680542,0.0,15,0.1
pythia,pythia-1b,1,6,-0.3603558838367462,0.0,15,0.1
pythia,pythia-1b,1,7,-0.1897198259830474,0.0,15,0.1
pythia,pythia-1b,2,0,-0.8737691342830658,0.0,15,0.16666666666666666
pythia,pythia-1b,2,2,-0.3325676321983337,0.0,15,0.16666666666666666
pythia,pythia-1b,2,7,-0.4282715022563934,0.0,15,0.16666666666666666
pythia,pythia-1b,3,1,-0.1613912284374237,0.0,15,0.23333333333333334
pythia,pythia-1b,3,2,-0.2812411487102508,0.0,15,0.23333333333333334
pythia,pythia-1b,3,3,-0.2382739782333374,0.0,15,0.23333333333333334
pythia,pythia-1b,3,5,-1.7290535867214205,-0.5574000477790833,15,0.23333333333333334
pythia,pythia-1b,3,6,-0.5584746301174164,-0.1963221430778503,15,0.23333333333333334
pythia,pythia-1b,3,7,-0.3219645619392395,0.0,15,0.23333333333333334
pythia,pythia-1b,4,1,-0.561447411775589,-0.4760230183601379,15,0.3
pythia,pythia-1b,4,3,-0.1758564114570617,-0.2348769307136535,15,0.3
pythia,pythia-1b,4,4,-0.3169485032558441,0.0,15,0.3
pythia,pythia-1b,5,0,-0.361431747674942,-0.1878109574317932,15,0.36666666666666664
pythia,pythia-1b,5,1,-0.1986167132854461,-0.6885338425636292,15,0.36666666666666664
pythia,pythia-1b,5,7,-0.1928339898586273,-0.2314826846122741,15,0.36666666666666664
pythia,pythia-1b,6,1,-0.2382892966270446,-0.3059865832328796,15,0.43333333333333335
pythia,pythia-1b,6,2,-0.3682558238506317,-0.3751377463340759,15,0.43333333333333335
pythia,pythia-1b,9,3,-0.1506060808897018,-0.1370392441749572,15,0.6333333333333333
gpt-neo,gpt-neo-125M,0,0,-0.2701974660158157,-0.2496296167373657,12,0.041666666666666664
gpt-neo,gpt-neo-125M,0,1,-1.5349412858486176,-1.3135390430688858,12,0.041666666666666664
gpt-neo,gpt-neo-125M,0,3,-0.2669998705387115,-0.9032590985298156,12,0.041666666666666664
gpt-neo,gpt-neo-125M,0,5,-0.5856923460960388,-2.176737606525421,12,0.041666666666666664
gpt-neo,gpt-neo-125M,0,6,-0.6490187644958496,-1.8854661881923676,12,0.041666666666666664
gpt-neo,gpt-neo-125M,0,7,-0.2736273109912872,-2.3322020173072815,12,0.041666666666666664
gpt-neo,gpt-neo-125M,0,8,-0.444309962913394,-2.665917158126831,12,0.041666666666666664
gpt-neo,gpt-neo-125M,0,9,-0.3537971824407577,-0.6124296188354492,12,0.041666666666666664
gpt-neo,gpt-neo-125M,0,10,-0.2932064980268478,-1.0765504837036133,12,0.041666666666666664
gpt-neo,gpt-neo-125M,0,11,-1.141575187444687,-1.8060099184513092,12,0.041666666666666664
gpt-neo,gpt-neo-125M,1,0,-1.0740363895893097,-1.0589888095855713,12,0.125
gpt-neo,gpt-neo-125M,1,6,-0.3131037652492523,-0.8770672678947449,12,0.125
gpt-neo,gpt-neo-125M,1,8,-0.2026551067829132,-0.2797454595565796,12,0.125
gpt-neo,gpt-neo-125M,1,9,-0.2093732059001922,-0.2007632255554199,12,0.125
gpt-neo,gpt-neo-125M,2,2,-0.224591463804245,0.0,12,0.20833333333333334
gpt-neo,gpt-neo-125M,5,7,-0.2016663700342178,0.0,12,0.4583333333333333
gpt-neo,gpt-neo-125M,6,2,-0.6693219840526581,-0.8256407976150513,12,0.5416666666666666
gpt-neo,gpt-neo-125M,6,4,-0.4119426999241113,-1.1991513669490814,12,0.5416666666666666
gpt-neo,gpt-neo-125M,6,6,-0.6230132877826691,-2.2809300422668457,12,0.5416666666666666
gpt-neo,gpt-neo-125M,9,4,-0.1688456237316131,0.0,12,0.7916666666666666
gpt2,gpt2,0,9,-0.6853834390640259,-0.0573840141296386,12,0.041666666666666664
opt,opt-125m,0,1,-0.1689273715019226,-0.1669877767562866,11,0.045454545454545456
opt,opt-125m,0,4,-0.1525332927703857,0.0,11,0.045454545454545456
opt,opt-125m,0,9,-0.182688295841217,-0.6461760997772217,11,0.045454545454545456
opt,opt-125m,1,4,-0.1868947446346283,-0.185649923980236,11,0.13636363636363635
opt,opt-125m,1,7,-0.18240886926651,-0.1083501279354095,11,0.13636363636363635
opt,opt-125m,2,2,-0.1555264890193939,0.0,11,0.22727272727272727
opt,opt-125m,2,5,-0.1786002218723297,-0.1258110105991363,11,0.22727272727272727
opt,opt-125m,8,8,-0.2330018579959869,-0.2083943858742714,11,0.7727272727272727
