family,model,layer,head,delta_ioi,delta_anti
pythia,pythia-1b,9,3,-0.15060608088970184,-0.13703924417495728
pythia,pythia-1b,9,6,0.0,-0.17614394426345825
pythia,pythia-1b,9,7,0.0,-0.09726327657699585
pythia,pythia-1b,10,0,0.0,-0.044313013553619385
pythia,pythia-1b,10,1,-0.09212601184844971,0.0
pythia,pythia-1b,10,3,0.0,-0.05015110969543457
pythia,pythia-1b,10,4,0.0,-0.11854797601699829
pythia,pythia-1b,10,5,0.0,-0.04856705665588379
pythia,pythia-1b,10,6,0.0,-0.0758398175239563
pythia,pythia-1b,10,7,0.0,-0.04939943552017212
pythia,pythia-1b,11,0,-0.10435593128204346,-0.06030160188674927
pythia,pythia-1b,11,3,0.0,-0.04616314172744751
pythia,pythia-1b,11,6,-0.12114003300666809,0.0
pythia,pythia-1b,11,7,-0.12383288145065308,-0.18556827306747437
pythia,pythia-1b,12,1,0.0,-0.050406694412231445
pythia,pythia-1b,12,5,0.0,-0.18337398767471313
pythia,pythia-1b,14,3,-0.08828353881835938,0.0
gpt-neo,gpt-neo-125M,0,0,-0.27019746601581573,-0.24962961673736572
gpt-neo,gpt-neo-125M,0,1,-1.5349412858486176,-1.3135390430688858
gpt-neo,gpt-neo-125M,0,2,0.0,-1.7878943085670471
gpt-neo,gpt-neo-125M,0,3,-0.26699987053871155,-0.9032590985298157
gpt-neo,gpt-neo-125M,0,4,0.0,-0.7600790858268738
gpt-neo,gpt-neo-125M,0,5,-0.5856923460960388,-2.176737606525421
gpt-neo,gpt-neo-125M,0,6,-0.6490187644958496,-1.8854661881923676
gpt-neo,gpt-neo-125M,0,7,-0.27362731099128723,-2.3322020173072815
gpt-neo,gpt-neo-125M,0,8,-0.444309962913394,-2.665917158126831
gpt-neo,gpt-neo-125M,0,9,-0.35379718244075775,-0.6124296188354492
gpt-neo,gpt-neo-125M,0,10,-0.29320649802684784,-1.0765504837036133
gpt-neo,gpt-neo-125M,0,11,-1.141575187444687,-1.8060099184513092
gpt-neo,gpt-neo-125M,1,0,-1.0740363895893097,-1.0589888095855713
gpt-neo,gpt-neo-125M,1,6,-0.3131037652492523,-0.8770672678947449
gpt-neo,gpt-neo-125M,1,8,-0.2026551067829132,-0.2797454595565796
gpt-neo,gpt-neo-125M,1,9,-0.20937320590019226,-0.20076322555541992
gpt-neo,gpt-neo-125M,2,2,-0.224591463804245,0.0
gpt-neo,gpt-neo-125M,5,7,-0.20166637003421783,0.0
gpt-neo,gpt-neo-125M,6,2,-0.6693219840526581,-0.8256407976150513
gpt-neo,gpt-neo-125M,6,4,-0.41194269992411137,-1.1991513669490814
gpt-neo,gpt-neo-125M,6,6,-0.6230132877826691,-2.2809300422668457
gpt-neo,gpt-neo-125M,9,4,-0.16884562373161316,0.0
gpt-neo,gpt-neo-125M,11,4,0.0,-0.25470197200775146
gpt2,gpt2,0,2,-0.019044160842895508,-0.02296888828277588
gpt2,gpt2,0,4,-0.030524492263793945,-0.0679323673248291
gpt2,gpt2,0,9,-0.6853834390640259,-0.05738401412963867
gpt2,gpt2,0,10,-0.047789931297302246,-0.03731584548950195
gpt2,gpt2,1,1,0.0,-0.06358659267425537
gpt2,gpt2,1,2,-0.013881802558898926,0.0
gpt2,gpt2,1,3,-0.08334410190582275,-0.17569482326507568
gpt2,gpt2,1,6,0.0,-0.026881933212280273
gpt2,gpt2,1,8,-0.028364062309265137,-0.024579524993896484
gpt2,gpt2,1,11,-0.04174911975860596,0.0
gpt2,gpt2,2,0,0.0,-0.03992903232574463
gpt2,gpt2,2,3,0.0,-0.04437124729156494
gpt2,gpt2,2,4,-0.024719834327697754,0.0
gpt2,gpt2,2,5,-0.026854276657104492,-0.0461806058883667
gpt2,gpt2,2,6,-0.020425081253051758,-0.04774892330169678
gpt2,gpt2,2,8,0.0,-0.10732805728912354
gpt2,gpt2,2,11,-0.03652358055114746,-0.05319511890411377
gpt2,gpt2,3,0,-0.026573896408081055,0.0
gpt2,gpt2,3,1,-0.02556610107421875,-0.023891925811767578
gpt2,gpt2,3,2,0.0,-0.03439688682556152
gpt2,gpt2,3,5,0.0,-0.02259218692779541
gpt2,gpt2,3,8,0.0,-0.03323841094970703
gpt2,gpt2,3,9,-0.015047907829284668,0.0
gpt2,gpt2,3,11,0.0,-0.03107273578643799
gpt2,gpt2,4,3,0.0,-0.024557828903198242
gpt2,gpt2,4,4,-0.025938749313354492,0.0
gpt2,gpt2,4,6,0.0,-0.029750585556030273
gpt2,gpt2,4,8,0.0,-0.02856588363647461
gpt2,gpt2,4,9,0.0,-0.032259345054626465
gpt2,gpt2,4,10,-0.021697044372558594,0.0
gpt2,gpt2,4,11,-0.05314755439758301,-0.02271711826324463
gpt2,gpt2,5,3,-0.01738286018371582,-0.023352861404418945
gpt2,gpt2,5,4,0.0,-0.026953935623168945
gpt2,gpt2,5,5,-0.033591270446777344,0.0
gpt2,gpt2,5,6,-0.017941594123840332,0.0
gpt2,gpt2,5,8,-0.021868228912353516,-0.05838000774383545
gpt2,gpt2,5,9,-0.052524685859680176,-0.13730013370513916
gpt2,gpt2,5,11,-0.0371166467666626,0.0
gpt2,gpt2,6,0,0.0,-0.05499863624572754
gpt2,gpt2,6,2,-0.045516014099121094,-0.06056809425354004
gpt2,gpt2,6,3,-0.040102362632751465,0.0
gpt2,gpt2,6,6,-0.020656824111938477,0.0
gpt2,gpt2,6,7,-0.014669179916381836,0.0
gpt2,gpt2,6,9,-0.019467473030090332,0.0
gpt2,gpt2,7,0,-0.01435697078704834,0.0
gpt2,gpt2,7,3,-0.022971749305725098,0.0
gpt2,gpt2,7,6,-0.03972578048706055,-0.03772580623626709
gpt2,gpt2,7,9,0.0,-0.05029869079589844
gpt2,gpt2,8,0,-0.02345883846282959,0.0
gpt2,gpt2,8,3,0.0,-0.03628802299499512
gpt2,gpt2,8,5,-0.023714900016784668,-0.030193686485290527
gpt2,gpt2,8,6,-0.13686156272888184,0.0
gpt2,gpt2,8,10,-0.04125642776489258,-0.06831586360931396
gpt2,gpt2,8,11,0.0,-0.03733932971954346
gpt2,gpt2,9,0,0.0,-0.022334933280944824
gpt2,gpt2,9,5,-0.02350795269012451,0.0
gpt2,gpt2,9,7,-0.017024517059326172,0.0
gpt2,gpt2,9,9,0.0,-0.03261101245880127
gpt2,gpt2,10,0,-0.03221094608306885,0.0
gpt2,gpt2,10,2,-0.023177623748779297,0.0
gpt2,gpt2,10,6,0.0,-0.0371859073638916
gpt2,gpt2,11,0,0.0,-0.142403244972229
gpt2,gpt2-medium,0,1,0.0,-0.014160752296447754
gpt2,gpt2-medium,0,9,-0.012526512145996094,0.0
gpt2,gpt2-medium,1,1,0.0,-0.019643306732177734
gpt2,gpt2-medium,1,4,-0.013009071350097656,-0.019053101539611816
gpt2,gpt2-medium,1,13,-0.008299946784973145,0.0
gpt2,gpt2-medium,2,0,0.0,-0.18865537643432617
gpt2,gpt2-medium,2,2,-0.0067005157470703125,0.0
gpt2,gpt2-medium,2,8,-0.023188233375549316,-0.04076027870178223
gpt2,gpt2-medium,2,11,-0.009220480918884277,-0.014917373657226562
gpt2,gpt2-medium,2,13,-0.02820754051208496,-0.054277777671813965
gpt2,gpt2-medium,3,1,-0.016051530838012695,-0.01700758934020996
gpt2,gpt2-medium,3,5,-0.02809453010559082,-0.058100342750549316
gpt2,gpt2-medium,3,9,-0.009495377540588379,0.0
gpt2,gpt2-medium,3,11,0.0,-0.019751310348510742
gpt2,gpt2-medium,3,15,-0.010327458381652832,0.0
gpt2,gpt2-medium,4,5,-0.008042335510253906,0.0
gpt2,gpt2-medium,4,8,-0.007012128829956055,0.0
gpt2,gpt2-medium,5,0,-0.011575579643249512,-0.018136024475097656
gpt2,gpt2-medium,5,13,-0.00931096076965332,0.0
gpt2,gpt2-medium,6,1,-0.01674342155456543,-0.040058016777038574
gpt2,gpt2-medium,6,10,0.0,-0.019478797912597656
gpt2,gpt2-medium,6,15,-0.013516545295715332,0.0
gpt2,gpt2-medium,7,0,0.0,-0.012390971183776855
gpt2,gpt2-medium,7,1,-0.011482000350952148,-0.031101465225219727
gpt2,gpt2-medium,7,2,-0.007463335990905762,0.0
gpt2,gpt2-medium,8,6,0.0,-0.011829853057861328
gpt2,gpt2-medium,8,8,-0.039721012115478516,-0.08158576488494873
gpt2,gpt2-medium,8,12,0.0,-0.018898844718933105
gpt2,gpt2-medium,10,0,0.0,-0.01859724521636963
gpt2,gpt2-medium,10,3,0.0,-0.014352083206176758
gpt2,gpt2-medium,10,7,-0.02577793598175049,-0.015523672103881836
gpt2,gpt2-medium,11,15,0.0,-0.01728522777557373
gpt2,gpt2-medium,12,10,-0.016130447387695312,0.0
gpt2,gpt2-medium,13,1,-0.010088205337524414,0.0
gpt2,gpt2-medium,13,4,0.0,-0.020084619522094727
gpt2,gpt2-medium,13,7,-0.014371037483215332,-0.02525770664215088
gpt2,gpt2-medium,13,9,-0.009203672409057617,-0.011828780174255371
gpt2,gpt2-medium,13,13,-0.018330693244934082,0.0
gpt2,gpt2-medium,14,5,-0.010059595108032227,0.0
gpt2,gpt2-medium,14,14,0.0,-0.025205254554748535
gpt2,gpt2-medium,15,11,-0.010797381401062012,-0.015040874481201172
gpt2,gpt2-medium,15,14,0.0,-0.026378989219665527
gpt2,gpt2-medium,16,0,0.0,-0.017155766487121582
gpt2,gpt2-medium,17,0,0.0,-0.0123976469039917
gpt2,gpt2-medium,18,10,-0.008635282516479492,-0.021585464477539062
gpt2,gpt2-medium,18,15,-0.0072748661041259766,0.0
gpt2,gpt2-medium,19,1,-0.01761150360107422,-0.025662541389465332
gpt2,gpt2-medium,19,7,-0.017733216285705566,-0.029454350471496582
gpt2,gpt2-medium,20,0,-0.01431572437286377,-0.014496445655822754
gpt2,gpt2-medium,20,6,-0.010406494140625,-0.012375235557556152
gpt2,gpt2-medium,20,14,-0.016941070556640625,-0.023498892784118652
gpt2,gpt2-medium,21,1,-0.012205362319946289,0.0
gpt2,gpt2-medium,21,7,-0.012888312339782715,0.0
gpt2,gpt2-medium,21,10,0.0,-0.0119781494140625
gpt2,gpt2-medium,22,4,0.0,-0.013923406600952148
gpt2,gpt2-medium,22,15,0.0,-0.01277470588684082
gpt2,gpt2-medium,23,2,-0.011188149452209473,0.0
gpt2,gpt2-medium,23,4,-0.016048431396484375,0.0
gpt2,gpt2-medium,23,11,0.0,-0.011988520622253418
gpt2,gpt2-medium,23,13,-0.008752822875976562,0.0
gpt2,gpt2-large,0,14,-0.019372224807739258,0.0
gpt2,gpt2-large,3,0,-0.0130767822265625,-0.014385819435119629
gpt2,gpt2-large,4,8,-0.010527729988098145,-0.020606279373168945
gpt2,gpt2-large,12,0,-0.009443521499633789,0.0
gpt2,gpt2-large,12,1,-0.008649230003356934,-0.011896967887878418
gpt2,gpt2-large,12,8,-0.007639169692993164,0.0
gpt2,gpt2-large,13,2,-0.008997201919555664,0.0
gpt2,gpt2-large,13,5,0.0,-0.0078046321868896484
gpt2,gpt2-large,15,1,-0.009054064750671387,0.0
gpt2,gpt2-large,15,14,0.0,-0.008236050605773926
gpt2,gpt2-large,15,17,0.0,-0.015069842338562012
gpt2,gpt2-large,16,2,-0.01066279411315918,-0.011975407600402832
gpt2,gpt2-large,16,7,0.0,-0.010042786598205566
gpt2,gpt2-large,16,9,0.0,-0.008248448371887207
gpt2,gpt2-large,16,13,0.0,-0.013983964920043945
gpt2,gpt2-large,17,9,-0.011022567749023438,-0.008858442306518555
gpt2,gpt2-large,17,13,-0.01180887222290039,0.0
gpt2,gpt2-large,17,15,-0.012908697128295898,0.0
gpt2,gpt2-large,17,18,-0.01000213623046875,0.0
gpt2,gpt2-large,17,19,0.0,-0.010413765907287598
gpt2,gpt2-large,18,13,0.0,-0.01088249683380127
gpt2,gpt2-large,18,15,-0.010296940803527832,-0.010692358016967773
gpt2,gpt2-large,19,1,-0.012458562850952148,-0.011525988578796387
gpt2,gpt2-large,19,2,-0.018299460411071777,-0.02087712287902832
gpt2,gpt2-large,19,13,-0.020584583282470703,0.0
gpt2,gpt2-large,19,16,-0.02875363826751709,-0.012098073959350586
gpt2,gpt2-large,20,7,-0.014848470687866211,-0.02207469940185547
gpt2,gpt2-large,20,14,-0.03218400478363037,-0.008035778999328613
gpt2,gpt2-large,21,15,-0.008775472640991211,0.0
gpt2,gpt2-large,22,0,-0.013073086738586426,-0.011067628860473633
gpt2,gpt2-large,23,2,0.0,-0.018178224563598633
gpt2,gpt2-large,24,8,-0.008010268211364746,0.0
gpt2,gpt2-large,27,4,-0.00760805606842041,0.0
gpt2,gpt2-large,28,10,-0.008258581161499023,-0.016972661018371582
gpt2,gpt2-large,29,0,-0.007750391960144043,-0.03198587894439697
gpt2,gpt2-large,30,10,-0.01458740234375,0.0
gpt2,gpt2-large,30,13,0.0,-0.00798177719116211
gpt2,gpt2-large,30,14,0.0,-0.022061586380004883
gpt2,gpt2-large,31,15,0.0,-0.010210156440734863
gpt2,gpt2-large,32,2,-0.01868140697479248,-0.012631535530090332
gpt2,gpt2-large,32,3,0.0,-0.009577274322509766
gpt2,gpt2-large,32,11,-0.026208043098449707,-0.025731801986694336
gpt2,gpt2-large,32,14,0.0,-0.009748220443725586
gpt2,gpt2-large,32,15,-0.012815475463867188,0.0
gpt2,gpt2-large,33,11,-0.06431329250335693,-0.0701141357421875
gpt2,gpt2-large,33,14,0.0,-0.008218646049499512
gpt2,gpt2-large,33,16,-0.008497118949890137,0.0
gpt2,gpt2-large,34,2,-0.08813273906707764,-0.10980558395385742
gpt2,gpt2-large,34,8,-0.05429565906524658,-0.0688713788986206
gpt2,gpt2-large,34,10,-0.008095622062683105,-0.008951067924499512
gpt2,gpt2-large,34,11,-0.055822134017944336,-0.07330679893493652
gpt2,gpt2-large,34,19,-0.008673429489135742,0.0
gpt2,gpt2-large,35,2,-0.015704870223999023,-0.029435396194458008
gpt2,gpt2-large,35,10,-0.008057236671447754,-0.010384917259216309
gpt2,gpt2-large,35,17,-0.04209458827972412,-0.04431354999542236
gpt2,gpt2-large,35,18,0.0,-0.009300947189331055
opt,opt-125m,0,1,-0.1689273715019226,-0.16698777675628662
opt,opt-125m,0,3,-0.08328157663345337,0.0
opt,opt-125m,0,4,-0.15253329277038574,0.0
opt,opt-125m,0,5,0.0,-0.14833545684814453
opt,opt-125m,0,7,0.0,-0.17109310626983643
opt,opt-125m,0,9,-0.18268829584121704,-0.6461760997772217
opt,opt-125m,1,3,0.0,-0.10388931632041931
opt,opt-125m,1,4,-0.1868947446346283,-0.18564992398023605
opt,opt-125m,1,7,-0.18240886926651,-0.10835012793540955
opt,opt-125m,1,9,-0.093041330575943,-0.37076547741889954
opt,opt-125m,1,10,-0.11273908615112305,0.0
opt,opt-125m,2,2,-0.15552648901939392,0.0
opt,opt-125m,2,5,-0.1786002218723297,-0.12581101059913635
opt,opt-125m,3,11,0.0,-0.24138973280787468
opt,opt-125m,4,9,-0.12908104062080383,-0.10974583029747009
opt,opt-125m,5,3,-0.1300402283668518,-0.14453278481960297
opt,opt-125m,6,11,0.0,-0.09480029344558716
opt,opt-125m,7,0,0.0,-0.09716588258743286
opt,opt-125m,7,6,-0.11494463682174683,-0.2341950349509716
opt,opt-125m,8,1,-0.08427673578262329,0.0
opt,opt-125m,8,4,0.0,-0.10172790288925171
opt,opt-125m,8,5,0.0,-0.11949118971824646
opt,opt-125m,8,8,-0.23300185799598694,-0.2083943858742714
opt,opt-125m,8,9,-0.0858519971370697,0.0
opt,opt-125m,9,0,0.0,-0.2086041197180748
opt,opt-125m,9,2,-0.08157983422279358,0.0
opt,opt-125m,9,3,-0.1339569091796875,-0.20301884412765503
opt,opt-125m,10,1,-0.10838884115219116,0.0
opt,opt-125m,10,10,-0.09070730209350586,0.0
